Country or Territory,City,UTC Time Offset
Burkina Faso,Ouagadougou,UTC
Gambia,Banjul,UTC
Ghana,Accra,UTC
Greenland,Danmarkshavn,UTC
Greenland,Scoresbysund,UTC
Guinea,Conakry,UTC
Guinea-Bissau,Bissau,UTC
Iceland,Reykjavik,UTC
Ivory Coast,Abidjan,UTC
Liberia,Monrovia,UTC
Mali,Bamako,UTC
Mauritania,Nouakchott,UTC
Portugal,Azores,UTC
Saint Helena,St_Helena,UTC
Senegal,Dakar,UTC
Sierra Leone,Freetown,UTC
Togo,Lome,UTC
Algeria,Algiers,UTC +01:00
Angola,Luanda,UTC +01:00
Benin,Porto-Novo,UTC +01:00
Cameroon,Douala,UTC +01:00
Central African Republic,Bangui,UTC +01:00
Chad,Ndjamena,UTC +01:00
Democratic Republic Of The Congo,Kinshasa,UTC +01:00
Equatorial Guinea,Malabo,UTC +01:00
Faroe Islands,Faroe,UTC +01:00
Gabon,Libreville,UTC +01:00
Guernsey,Guernsey,UTC +01:00
Ireland,Dublin,UTC +01:00
Isle Of Man,Isle_of_Man,UTC +01:00
Jersey,Jersey,UTC +01:00
Morocco,Casablanca,UTC +01:00
Niger,Niamey,UTC +01:00
Nigeria,Lagos,UTC +01:00
Portugal,Madeira,UTC +01:00
Portugal,Lisbon,UTC +01:00
Republic Of The Congo,Brazzaville,UTC +01:00
Sao Tome And Principe,Sao_Tome,UTC +01:00
Spain,Canary,UTC +01:00
Tunisia,Tunis,UTC +01:00
United Kingdom,London,UTC +01:00
Western Sahara,El_Aaiun,UTC +01:00
Albania,Tirane,UTC +02:00
Andorra,Andorra,UTC +02:00
Antarctica,Troll,UTC +02:00
Austria,Vienna,UTC +02:00
Belgium,Brussels,UTC +02:00
Bosnia And Herzegovina,Sarajevo,UTC +02:00
Botswana,Gaborone,UTC +02:00
Burundi,Bujumbura,UTC +02:00
Croatia,Zagreb,UTC +02:00
Czech Republic,Prague,UTC +02:00
Democratic Republic Of The Congo,Lubumbashi,UTC +02:00
Denmark,Copenhagen,UTC +02:00
Egypt,Cairo,UTC +02:00
France,Paris,UTC +02:00
Germany,Berlin,UTC +02:00
Germany,Busingen,UTC +02:00
Gibraltar,Gibraltar,UTC +02:00
Hungary,Budapest,UTC +02:00
Italy,Rome,UTC +02:00
Lesotho,Maseru,UTC +02:00
Libya,Tripoli,UTC +02:00
Liechtenstein,Vaduz,UTC +02:00
Luxembourg,Luxembourg,UTC +02:00
Macedonia,Skopje,UTC +02:00
Malawi,Blantyre,UTC +02:00
Malta,Malta,UTC +02:00
Monaco,Monaco,UTC +02:00
Montenegro,Podgorica,UTC +02:00
Mozambique,Maputo,UTC +02:00
Namibia,Windhoek,UTC +02:00
